0.8_fB1,0.8_subCycleNumber,0.9_fB1,0.9_subCycleNumber,0.95_fB1,0.95_subCycleNumber,0.99_fB1,0.99_subCycleNumber
0.05,19.833333333333332,0.05,32.833333333333336,0.05,55.0,0.2,70.0
0.1,9.0,0.1,17.0,0.1,30.0,0.3,50.0
0.2,4.0,0.2,9.0,0.2,17.0,0.4,33.99999999999999
0.3,3.0,0.3,6.0,0.3,11.0,0.4999,20.013999999999992
0.4,2.0,0.4,4.0,0.4,7.999999999999997,,
0.4999,2.0,0.4999,3.001999999999999,0.4999,5.001999999999999,,
