1.00_cycle,1.00_alpha1_2,1.00_alpha1_3,1.00_alpha2_3,1.04_cycle,1.04_alpha1_2,1.04_alpha1_3,1.04_alpha2_3,1.08_cycle,1.08_alpha1_2,1.08_alpha1_3,1.08_alpha2_3,1.16_cycle,1.16_alpha1_2,1.16_alpha1_3,1.16_alpha2_3,1.29_cycle,1.29_alpha1_2,1.29_alpha1_3,1.29_alpha2_3,1.55_cycle,1.55_alpha1_2,1.55_alpha1_3,1.55_alpha2_3,2.85_cycle,2.85_alpha1_2,2.85_alpha1_3,2.85_alpha2_3,6.03_cycle,6.03_alpha1_2,6.03_alpha1_3,6.03_alpha2_3
10,1.25639586312809,2.28160979282315,1.81599594505394,10,1.30991513956389,2.37880058181278,1.81599594505394,10,1.35775982123179,2.46568632971409,1.81599594505394,10,1.46091754943674,2.65302034583526,1.81599594505393,10,1.61547342779509,2.93369319421827,1.81599594505393,,,,,,,,,,,,
11,1.25639586312808,2.28160979282315,1.81599594505394,11,1.30991513956389,2.37880058181278,1.81599594505394,11,1.35775982123179,2.46568632971409,1.81599594505394,11,1.46091754943674,2.65302034583526,1.81599594505393,,,,,,,,,,,,,,,,
12,1.25639586312808,2.28160979282315,1.81599594505394,12,1.30991513956389,2.37880058181278,1.81599594505394,12,1.35775982123179,2.46568632971409,1.81599594505393,12,1.46091754943674,2.65302034583526,1.81599594505393,,,,,,,,,,,,,,,,
13,1.25639586312809,2.28160979282314,1.81599594505394,13,1.30991513956389,2.37880058181278,1.81599594505394,13,1.35775982123179,2.46568632971409,1.81599594505393,,,,,,,,,,,,,,,,,,,,
14,1.25639586312808,2.28160979282314,1.81599594505394,14,1.30991513956389,2.37880058181278,1.81599594505394,14,1.35775982123179,2.46568632971409,1.81599594505393,,,,,,,,,,,,,,,,,,,,
15,1.25639586312808,2.28160979282314,1.81599594505394,15,1.30991513956389,2.37880058181278,1.81599594505394,15,1.35775982123179,2.46568632971409,1.81599594505393,,,,,,,,,,,,,,,,,,,,
16,1.25639586312809,2.28160979282314,1.81599594505394,16,1.30991513956389,2.37880058181278,1.81599594505394,,,,,,,,,,,,,,,,,,,,,,,,
17,1.25639586312808,2.28160979282314,1.81599594505394,17,1.30991513956389,2.37880058181278,1.81599594505394,,,,,,,,,,,,,,,,,,,,,,,,
18,1.25639586312808,2.28160979282314,1.81599594505394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.25639586312808,2.28160979282314,1.81599594505394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.25639586312808,2.28160979282314,1.81599594505394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
