0.8_fB1,0.8_subCycleNumber,0.9_fB1,0.9_subCycleNumber,0.95_fB1,0.95_subCycleNumber,0.99_fB1,0.99_subCycleNumber
0.675,23,0.75,81,0.8,128,0.85,602
0.7,11,0.775,24,0.85,27,0.9,123
0.725,8,0.8,15,0.9,14,0.95,47
0.75,6,0.85,9,0.95,9,,
0.775,5,0.9,6,,,,
0.8,5,0.95,5,,,,
0.85,4,,,,,,
0.9,3,,,,,,
0.95,3,,,,,,
