fB1,alpha1_2,alpha1_3,alpha2_3,
0.4618352672074258,1.25612601648022,2.28106824882623,1.81595494313381
0.475,1.32648490933489,2.38270898259885,1.79625788867328
0.5,1.46963627044278,2.58390216399084,1.75819161241328
0.55,1.79621476109561,3.01743870606362,1.67988748974712
0.6,2.18165387006255,3.48969289591553,1.59956303967480
0.65,2.63187349738738,3.99602754148423,1.51832052165540
0.7,3.15236982225277,4.53074684220325,1.43725105164388
0.75,3.74814853643592,5.08759576130296,1.35736236487060
0.8,4.42371994009145,5.66025478075022,1.27952376221927
0.85,5.18314294079775,6.24275294424612,1.20443387642427
0.9,6.03010010449772,6.82975764096331,1.13261098864166
0.95,6.96798661807295,7.41673506526121,1.06440145077551
